text,label
WTF MY BATTERY WAS 31% ONE SECOND AGO AND NOW IS 29% WTF IS THIS @apple,0
@apple Contact sync between Yosemite and iOS8 is seriously screwed up. It used to be much more stable in the past. #icloud #isync,0
WARNING IF YOU BUY AN IPHONE 5S UNLOCKED FROM @APPLE IPHONE YOU CANNOT USE IT ON VERIZON NETWORK,0
"@Apple, For the love of GAWD, CENTER the '1'on the damn calendar app. You fixed it once, its back, off center, AGAIN! ",0
i get the storage almost full notification literally every 5 minutes chill @apple,0
I had to do made the #switch from iPhone 6 to the galaxy note edge. @apple keep up ,0
@ me RT @101Baemations: Can't stand those ppl with @Apple stickers everywhere. 9/10 they prob just bought an iPod shuffle,0
That flash crash really screwed with a lot of traders today. Not me. Im more determined than ever to make trading work for me #AAPL,0
Nigga update yall headphones @Apple,0
RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: ,0
"Ok, @apple. You win. I won't use your browser anymore since it keeps closing on me. Literally 8 times today. I counted.",0
@thehill @Apple I cite the us constitution where judges cannot pass laws! Violation of the separation of powers,0
@apple U need to get ur fucking shit together and let me txt while on YouTube,0
@thehill @Apple Wish we could prosecute the admin for violation of privacy and criminal search and seizure,0
#AAPL:Here's why Apple dropped...,0
hey @apple fuck you,0
@apple why doesn't your people explain precautions when buying an expensive laptop,0
"As a die hard @Apple customer, I must say I am truly displeased with the customer service I was given today. #badservice #Apple",0
@Apple made it clear today that I as a customer are not worth a measly $79!! An employee gave mis info and they will not stand behind it,0
Why does @Apple force people to use its VPN built in to iOS8? Off button doesn't work FFS. Like I want Apple's NSA data collection service.,0
Then how the hell did I take this screenshot? @apple @timcook ,0
Buy round lot on the open MT @WSJD #AAPL stock briefly dove 6.4% today. Analysts not sure why ,0
3G is draining my battery fix this @apple,0
@apple your chargers suck ass! They just love to break!,0
I'm hoping @apple won't automatically make us download Bruce Springsteen and U2 singing together.  #u2 #bruce #espn #thatwasbad,0
@thehill @Apple What a joke! Justice Dept should prosecute Killer Wilson in pursuit of JUSTICE. #Ferguson IS NOT OVER!,0
RT @TinfoilTricorn: @thehill @Apple Wish we could prosecute the admin for violation of privacy and criminal search and seizure,0
So so sooooo annoyed. Did the restore from my back up and lost my voice mails. I needed to keep those. Thanks a lot @apple,0
Thisn#Yosemite update is stressing me out @apple #macbookpro,0
Just broke my 3rd charger of the month. Get your shit together @apple,0
"This iPhone 6 battery isn't as good as you claim, @apple",0
#Nasdaq big fall. @FB @Baba @Twtr @Linkd @Apple fell 3-6% on Monday! See whether follow up ..,0
@apple @iphone4 oh it's not fair and i think you're really mean,0
I HATE HOW IOS 8 CAPITALIZES RANDOM WORDS LIKE I DONT WANNA GIVE EMPHASIS TO SOME STUPID WORD IN THA SENTENCE GET UR SELF TOGETHER @Apple,0
@apple why was the iphone 4 ever created,0
@apple I FUCKING HATE YOU ,0
IT'S NOT LIKE THE APP COSTS MONEY JUST LET ME DOWNLOAD IT @APPLE,0
My phones been charging for an hour but it keeps losing percentage?? Get ur shit together @apple,0
@baseballbridget @apple we couldn't even get a turkey for TDay so they just don't care... #appleemojissuck,0
RT @toricolelli: My phones been charging for an hour but it keeps losing percentage?? Get ur shit together @apple,0
Fix it @apple ,0
How long does it really take for a phone to ship @apple smh,0
"So, on my iphone5, the @apple health kit is no longer gathering data.  Sigh.",0
Thanks @apple for changing yet another fuck into duck...Thanks.,0
@Apple YH News Apple tumbles as much as 6 percent in unusual trading: By Chuck Mikolajczak NEW YORK (Reuters) ...  ,0
@brwnskin_beauti cause fuck @apple,0
if i buy a 16 gb phone i should have 16 GB'S TO USE @apple,0
fuck you for BREAKING MY MUSIC @apple,0
just need @apple to come out with a charger cord that keep a charge &amp; don't fall apart ,0
RT @AMANDAZUCKERMAN: You should be able to forward a voicemail. Why isn't that a thing? @apple,0
@apple and @facebook I speak for all of humanity; We want to chose what contacts are added to our contacts book from #facebook #thanks,0
@Apple I h8 everything about u,0
@apple ur a disgrace,0
My phone is on acid right now @apple fix this,0
@Apple I had a power cord problem- under warranty. You said it would be fine. It isn't. And now you won't replace it? ,0
@Apple This was NORMAL use-- NO ABUSE! Wrapped it exactly as you instructed me to. This is a fire hazard. You should replace it. #defective,0
Yo @Apple fix your shitty iMessage,0
Yo! @apple this auto correct shit gotta stop!!! changing my shit right when i send it,0
Those** PICK UP THE SLACK YOU FUCK BOYS @Apple,0
fucking faggots @apple,0
@Apple of course that's not their mother fucking @,0
the fuck kinda gay shit you print in the fucking ketosis @apple,0
Game*** @Apple you bitches really trying me tonight! RT @DreMacsAMillion: @WhoSFlyy__ gams night gawd,0
RT @bella_bong_: @apple U need to get ur fucking shit together and let me txt while on YouTube,0
@apple @Disney Why can't I buy any version let alone the version I actually like of Star Wars on @iTunesMovies #stupid #lame #StarWars,0
Can @apple drop Audio Only rendition requirement for iOS apps? Users hate it No other stores want it Other platforms don't know what it is,0
"None too happy with @Apple Mac OS X (Yosemite), File Vault 2, or Boot Camp right now. Thankful to own a @lenovo.",0
I demand there be a tapatio emoji @apple,0
so for the second time #aapl #pages ate my edits. 700bn? #amateurs #fail #iwantjobsback,0
feel so lost with out my phone :(  @apple iPhone 5 chargers are horrendous! #brokenchargerprobs,0
Excellent news #HouseOfCards S3 on @netflix 27/2! I wonder if Yosemite &amp; my wifi will be talking by then @apple @tim_cook ? It's been wks!!,0
@apple my laptop is burning my legs what do u have to say about this,0
@HammerArcade This makes me feel so sad ;-; WHY DO U HAVE TO BE SO ROOD @APPLE,0
I hate these @apple earphones so bad. Why in the world did they think it was a good idea to p ,0
Why you dying so fast phone? Fuck you @apple,0
@remuuusss @apple fix this,0
@apple #apple #iphone @iphone #iphone4s #iphone4problems  SOMEONE FUCKING HELP ME SOMEONE WHO WORKS AT APPLE FUCKING HELP ME DO UR JOB CUNTS,0
"WTF @Apple, synching notes or iCloud pages is unusable. It used to be easier.",0
hey @apple fuck you just let me change stores,0
about to write a huge fuck you to @apple for not letting me make reservations to get my laptop fixed,0
"Apple tumbles as much as 6 percent in unusual trading $AAPL #aapl ",0
@JimCramer Says 'Machines' Caused @Apple's Big Drop $AAPL  ,0
@maxscottslade @Apple yeah the trackpad is fine and working now! but I had to damage one of the screw holdings to get the battery out,0
@Apple #fail - Since updating my #ipad #OS there is a #bug that does not delete videos and free up memory forcing... ,0
my alarm was set the ringer was on and it just refused to work fuck u @apple,0
"I'm lost because it's deer season, but there is no deer emoji. Come on @Apple, how am I suppose to show the love to all my huntin' friendz?",0
@Apple I figured out #memory issue on my #ipad. It wasnt a #bug but a new hidden folder that stores our  images... ,0
"#AppleLawSuit Depends on exactly what @Apple did to hold back/beat their competition. There are fair game competitive tactics &amp; unfair 1s YK",0
"IPhone6 has too many issues,  why tf is the earphone plug in not working @apple u better fix this shit for free.",0
"@mcmillanstu @D1PZ... But trying to get launch info ahead of time from telco marketing teams was a nightmare - thanks @apple! #EcomChat",0
Dear @apple replace my phone my battery sucks,0
RT @laurrynk: Dear @apple replace my phone my battery sucks,0
"@ThisDueeMarco @Apple thats annoying, they never get stuff right the first time.",0
I'm surprised there isn't more talk about what looked like a flash crash in #AAPL yesterday. Biggest range in years and largely ignored,0
Here's Why #Apple Won't Be A Trillion Dollar Company According To Billionaire VC Jim Breyer #aapl ,0
Chromebooks Overtake Apple's iPads in U.S. Education Market ,0
Apple Inc. is doomed. $AAPL dropped by 1.54%! Currently priced at 113.3. ,0
.@Apple wants you to stop taking vertical photos: ,0
@apple yall some hoes,0
Did you notice that @Apple apps now say 'Get' instead of 'Free'? This change was due to alleged misleading labeling. ,0
@shortyawards @Apple it is very confusing u wonder if it means u are going to get a bill later for Ur download please use free if it's free,0
"Apple  Loses Ground to Google  In Education Tablet Sales $AAPL #aapl ",0
@apple What do I need to do if my mac has been really slow lately ?,0
Your stupid as shit upgrade has ruined the god damned IDE @apple,0
"You pieces of shit @apple!  God damnit man!",0
"Hey @apple, how come I can't make Genius Bar appointments online anymore?",0
"What happened? RT @Khaleel You pieces of shit @apple!  God damnit man!",0
Lol fuck you. I'm still not buying a new one. @Apple ,0
@apple has caused me so much pain today,0
"#As @Apple [#Apple] still struggles to #meet #iPhone6 demand, #Canaccord raises price .... (#Tuesday, 2 #December) ",0
Not cool @Apple ... not cool. You just bait-and-switched me into paying for an upgrade to server after a 'free' upgd. to 10.10.1?,0
iPhone Shortages Not Helping RadioShack as Consumer Sales Plummet ,0
@APPLE CAN YALL PLEASE SEND ME MY FUCKIN PHONE,0
Anyone know how to fix this? #xcode @apple no simulators... tried complete reinstall #ios ,0
CNBCTV:  #Apple fighting monopoly allegations #aapl ,0
CNBCTV:  #Cramer: Trading #Apple suckers game #aapl ,0
@apple make SD cards so we can add memory to our iPhone because we all know you won't allow SD cards until you profit from it,0
Google Chromecast Leapfrogs Apple TV as the Aging Media Player Loses Ground to Rivals ,0
